[2024-04-03 16:43:09] - WARNING - {"action":"Suppression","Nom du livre":"AAAA"}
[2024-04-03 16:50:17] - INFO - {"action":"Affichage","Nom du livre":"Salut2"}
[2024-04-03 16:50:52] - WARNING - {"action":"Suppression","Nom du livre":"Salut2"}
[2024-04-03 16:51:17] - INFO - {"action":"Affichage","Nom du livre":"Test historique"}
[2024-04-03 16:51:36] - WARNING - {"action":"Suppression","Nom du livre":"Test historique"}
[2024-04-04 14:54:31] - INFO - {"action":"Ajout","Nom du livre":"azerty"}
[2024-04-04 15:06:36] - INFO - {"action":"Affichage","Nom du livre":"azerty"}
[2024-04-04 15:06:49] - WARNING - {"action":"Suppression","Nom du livre":"azerty"}
[2024-04-04 15:07:07] - WARNING - {"action":"Suppression","Nom du livre":"Lauia"}
[2024-04-04 15:07:28] - INFO - {"action":"Ajout","Nom du livre":"test3"}
[2024-04-04 15:17:24] - INFO - {"action":"Tri","Type de tri":"Rapide"}
[2024-04-04 15:17:24] - INFO - {"action":"Recherche","Nom du livre":"Test"}
[2024-05-14 14:58:29] - INFO - {"action":"Modification","ID du livre":null}
[2024-05-14 14:58:52] - INFO - {"action":"Modification","ID du livre":null}
[2024-05-14 15:00:20] - INFO - {"action":"Modification","ID du livre":"660d35c65255b"}
[2024-05-14 15:01:22] - INFO - {"action":"Modification","ID du livre":"660d35c65255b"}
[2024-05-14 15:04:06] - INFO - {"action":"Tri","Type de tri":"Rapide"}
[2024-05-14 15:04:37] - INFO - {"action":"Tri","Type de tri":"Rapide"}
[2024-05-14 15:04:37] - INFO - {"action":"Recherche","Nom du livre":"qwerty"}
[2024-05-14 15:05:03] - INFO - {"action":"Tri","Type de tri":"Rapide"}
[2024-05-14 15:06:51] - INFO - {"action":"Tri","Type de tri":"Rapide"}
[2024-05-14 15:06:51] - INFO - {"action":"Recherche","Nom du livre":"Test2"}
[2024-05-14 15:07:18] - INFO - {"action":"Modification","ID du livre":"660d35c65255b"}
[2024-05-14 15:07:30] - INFO - {"action":"Tri","Type de tri":"Rapide"}
[2024-05-14 15:09:12] - INFO - {"action":"Modification","ID du livre":"660d35c65255b"}
[2024-05-14 15:09:21] - INFO - {"action":"Tri","Type de tri":"Rapide"}
[2024-05-14 15:09:21] - INFO - {"action":"Recherche","Nom du livre":"Test1"}
[2024-05-14 15:21:13] - INFO - {"action":"Modification","ID du livre":"660d35c65255b"}
[2024-05-15 07:54:21] - INFO - {"action":"Tri","Type de tri":"Rapide"}
[2024-05-15 07:54:21] - INFO - {"action":"Recherche","Nom du livre":"TESTEST"}
[2024-05-15 07:55:15] - INFO - {"action":"Affichage","Nom du livre":"Test2"}
[2024-05-15 08:02:42] - INFO - {"action":"Modification","ID du livre":"660d35c65255b"}
[2024-05-15 08:03:09] - WARNING - {"action":"Suppression","Nom du livre":"660ea60ff2156"}
[2024-05-15 08:03:34] - INFO - {"action":"Tri","Type de tri":"Rapide"}
[2024-05-15 08:04:00] - INFO - {"action":"Tri","Type de tri":"Rapide"}
[2024-05-15 08:04:17] - INFO - {"action":"Tri","Type de tri":"Rapide"}
[2024-05-15 08:04:17] - INFO - {"action":"Recherche","Nom du livre":"Haskell for great good"}
[2024-05-15 08:04:57] - INFO - {"action":"Ajout","Nom du livre":"Array Paradigm"}
[2024-05-15 08:07:19] - INFO - {"action":"Tri","Type de tri":"Rapide"}
[2024-05-15 08:08:02] - INFO - {"action":"Tri","Type de tri":"Rapide"}
[2024-05-15 08:08:02] - INFO - {"action":"Recherche","Nom du livre":"Test2"}
[2024-05-15 08:15:51] - INFO - {"action":"Ajout","Nom du livre":"Test2"}
[2024-05-15 08:52:37] - INFO - {"action":"Modification","ID du livre":"660d3734a3b21"}
[2024-05-15 08:53:52] - INFO - {"action":"Modification","ID du livre":"660d3734a3b21"}
[2024-05-15 08:54:16] - INFO - {"action":"Modification","ID du livre":"660d3734a3b21"}
[2024-05-15 08:55:03] - INFO - {"action":"Modification","ID du livre":"660d3734a3b21"}
[2024-05-15 08:56:31] - INFO - {"action":"Ajout","Nom du livre":"toma"}
[2024-05-15 09:00:20] - INFO - {"action":"Modification","ID du livre":"660d3734a3b21"}
[2024-05-15 09:04:16] - INFO - {"action":"Modification","ID du livre":"660d3734a3b21"}
[2024-05-15 09:04:27] - INFO - {"action":"Ajout","Nom du livre":"toma"}
[2024-05-15 09:04:42] - INFO - {"action":"Ajout","Nom du livre":"toma"}
[2024-05-15 09:05:02] - INFO - {"action":"Modification","ID du livre":"660d3734a3b21"}
[2024-05-15 09:06:16] - INFO - {"action":"Modification","ID du livre":"660d3734a3b21"}
[2024-05-15 09:07:04] - INFO - {"action":"Modification","ID du livre":"660d3734a3b21"}
[2024-05-15 09:12:24] - INFO - {"action":"Modification","ID du livre":"660d3734a3b21"}
